,Player,Span,Matches,Innings,NO,Runs,HS,AVG,Balls Faced,Strike Rate,100,50,0,4's,6's
1304,U Aryaman Sunil (SGP),2019-2020,5,4,0,37,16,9.25,24,154.16,0,0,0,2,2
1305,SJ Benn (WI),2008-2016,24,7,4,37,13*,12.33,42,88.09,0,0,1,5,1
1306,VD Chandra (PNM),2019-2019,3,2,0,37,26,18.50,30,123.33,0,0,0,3,3
1307,Danish Aziz (PAK),2021-2021,2,2,0,37,22,18.50,35,105.71,0,0,0,1,1
1308,I Danladi (NGA),2019-2019,3,2,0,37,37,18.50,38,97.36,0,0,1,4,1
1309,JS Foster (ENG),2009-2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1
1310,RM Hira (NZ),2012-2013,15,3,1,37,20*,18.50,33,112.12,0,0,0,4,1
1311,J Hirschi (MLT),2019-2019,4,4,0,37,13,9.25,62,59.67,0,0,0,0,0
1312,AM Kimote (TAN),2021-2021,10,5,2,37,32,12.33,31,119.35,0,0,2,4,0
1313,R Kumar (ROM),2019-2019,4,3,1,37,32,18.50,27,137.03,0,0,0,6,0
1314,S Kushretha (LUX),2020-2020,4,3,0,37,28,12.33,39,94.87,0,0,0,2,0
1315,D Manani (ROM),2019-2021,3,2,1,37,19*,37.00,32,115.62,0,0,0,4,1
1316,Noman Amjad (Fran),2021-2021,4,4,0,37,24,9.25,42,88.09,0,0,1,0,2
1317,GR Russ (PHI),2019-2022,7,5,2,37,15,12.33,48,77.08,0,0,1,3,0
1318,Sarfaraj Patel (LES),2021-2021,6,6,1,37,10*,7.40,55,67.27,0,0,0,2,0
1319,S Sola (Samoa),2019-2019,4,3,0,37,18,12.33,36,102.77,0,0,0,1,3
1320,BM Wheeler (NZ),2017-2018,6,4,2,37,30,18.50,28,132.14,0,0,0,3,2
1321,Ahsan Ali (PAK),2020-2020,2,2,0,36,36,18.00,39,92.30,0,0,1,4,0
1322,Amandeep Singh (PORT),2021-2021,4,4,2,36,18*,18.00,25,144.00,0,0,1,1,3
1323,RJ Campbell (HKG),2016-2016,3,3,0,36,27,12.00,47,76.59,0,0,1,6,0
1324,J Dunn (VAN),2019-2019,4,3,0,36,23,12.00,41,87.80,0,0,0,0,1
1325,Imran Arif (Saudi),2021-2021,4,4,0,36,22,9.00,48,75.00,0,0,0,1,3
1326,J Jojo (DEN),2019-2019,7,5,3,36,13,18.00,27,133.33,0,0,0,1,1
1327,TE Kane (IRE),2015-2019,7,3,1,36,26*,18.00,23,156.52,0,0,0,5,0
1328,OC McCoy (WI),2019-2021,13,6,2,36,23,9.00,26,138.46,0,0,1,3,3
1329,Mohammed Qasim (UAE),2016-2017,3,3,1,36,13*,18.00,51,70.58,0,0,0,2,0
1330,Mohsin Hub (Peru),2019-2019,4,4,1,36,16*,12.00,41,87.80,0,0,1,2,0
1331,MMR Obili (EST),2021-2021,6,5,2,36,18,12.00,43,83.72,0,0,1,0,1
1332,PA Patel (INDIA),2011-2011,2,2,0,36,26,18.00,32,112.50,0,0,0,4,1
1333,M Podosky (PHI),2022-2022,5,5,1,36,20,9.00,38,94.73,0,0,1,3,1
1334,JA Richardson (AUS),2017-2022,16,7,4,36,11,12.00,31,116.12,0,0,1,3,1
1335,Abdul Shakoor (UAE),2015-2019,6,4,2,35,20*,17.50,40,87.50,0,0,0,3,0
1336,Aminul Islam (BAN),2019-2021,10,7,4,35,9,11.66,41,85.36,0,0,0,4,0
1337,STR Binny (INDIA),2015-2016,3,2,0,35,24,17.50,29,120.68,0,0,0,2,1
1338,CD de Lange (SCOT),2015-2017,8,3,0,35,22,11.66,22,159.09,0,0,0,2,2
1339,KJ Ferrary (GIBR),2021-2021,1,1,1,35,35*,-,25,140.00,0,0,0,2,1
1340,L Hermida (Mex),2019-2019,5,5,2,35,12,11.66,50,70.00,0,0,0,1,0
1341,A Khan (DEN/ENG),2009-2021,6,5,0,35,16,7.00,42,83.33,0,0,0,1,1
1342,M Magagula (),2021-2021,6,4,0,35,13,8.75,56,62.50,0,0,0,3,1
1343,VV Morea (PNG),2015-2017,5,5,0,35,19,7.00,44,79.54,0,0,1,4,0
1344,CB Mpofu (ZIM),2008-2020,32,11,7,35,17*,8.75,43,81.39,0,0,3,3,1
1345,D Murphy (SCOT),2013-2013,4,4,3,35,20,35.00,35,100.00,0,0,0,1,0
1346,Nasum Ahmed (BAN),2021-2022,20,9,6,35,19*,11.66,39,89.74,0,0,2,1,2
1347,Nazakat Ali (NOR),2019-2019,2,2,0,35,25,17.50,31,112.90,0,0,0,1,3
1348,N Pokana (PNG),2016-2022,25,11,6,35,9,7.00,46,76.08,0,0,1,0,1
1349,Robert Raina (THAI),2020-2020,4,4,0,35,20,8.75,68,51.47,0,0,0,3,1
1350,Shuvagata Hom (BAN),2016-2016,5,4,2,35,16*,17.50,35,100.00,0,0,0,3,1
1351,Arafat Sunny (BAN),2014-2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1
1352,Hammad Azam (PAK),2012-2013,5,4,1,34,21,11.33,34,100.00,0,0,0,3,1
1353,J Hill (PHI),2019-2022,8,7,0,34,11,4.85,64,53.12,0,0,1,3,0
1354,Ibrahim Nashath (Mald),2019-2021,7,6,2,34,20*,8.50,82,41.46,0,0,2,1,0
1355,FJ Klaassen (NED),2018-2021,24,9,3,34,13,5.66,40,85.00,0,0,1,2,0
1356,M Kpaka (SLE),2021-2021,7,6,1,34,16*,6.80,45,75.55,0,0,1,0,1
1357,W McClintock (IRE),2021-2021,5,4,1,34,15*,11.33,38,89.47,0,0,0,4,0
1358,Nadeem Ahmed (HKG),2014-2017,24,9,4,34,10,6.80,55,61.81,0,0,1,2,0
1359,JD Nel (SCOT),2007-2010,10,5,2,34,13*,11.33,25,136.00,0,0,1,3,1
1360,OL Pitcher (BMUDA),2008-2008,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0
1361,Saqib Zulfiqar (NED),2018-2019,6,4,0,34,18,8.50,43,79.06,0,0,0,1,0
1362,A Sharafu (UAE),2020-2021,6,4,1,34,12,11.33,33,103.03,0,0,0,0,3
1363,W Viraliliu (VAN),2019-2019,10,7,3,34,13*,8.50,26,130.76,0,0,0,3,2
1364,RA Abolarin (NGA),2019-2021,10,5,3,33,20*,16.50,30,110.00,0,0,0,2,1
1365,PSP Handscomb (AUS),2019-2019,2,2,1,33,20*,33.00,33,100.00,0,0,0,1,0
1366,GO Jones (ENG),2005-2006,2,2,1,33,19,33.00,25,132.00,0,0,0,5,0
1367,MF Maharoof (SL),2006-2016,8,5,1,33,13*,8.25,43,76.74,0,0,1,0,1
1368,AF Milne (NZ),2010-2021,31,10,9,33,10*,33.00,33,100.00,0,0,0,1,1
1369,Mustapha Yusuf (NGA),2021-2021,5,4,2,33,16,16.50,34,97.05,0,0,1,3,0
1370,R Nil (SEY),2021-2021,4,2,0,33,19,16.50,27,122.22,0,0,0,2,1
1371,I Pandey (NEPAL),2019-2019,4,4,0,33,22,8.25,50,66.00,0,0,0,5,0
1372,RJMGM Rupasinghe (SL),2009-2009,2,2,0,33,18,16.50,39,84.61,0,0,0,2,0
1373,Simandeep Singh (HKG),2019-2019,7,7,2,33,14*,6.60,32,103.12,0,0,0,2,0
1374,WPUJC Vaas (SL),2006-2007,6,2,1,33,21,33.00,41,80.48,0,0,0,1,0
1375,D Wheatley (Bhm),2022-2022,5,5,1,33,16,8.25,29,113.79,0,0,0,4,1
1376,AA Westphal (Mex),2019-2019,5,5,0,33,24,6.60,40,82.50,0,0,0,3,0
1377,S Williams (SLE),2021-2021,10,6,4,33,22*,16.50,40,82.50,0,0,0,3,0
1378,Zahid Khan (SLE),2021-2021,4,4,0,33,27,8.25,32,103.12,0,0,1,3,1
1379,Aaftab Alam Khan (MLT),2021-2021,5,5,1,32,15,8.00,29,110.34,0,0,1,2,2
1380,Aftab Kayani (ROM),2020-2021,7,3,0,32,20,10.66,32,100.00,0,0,0,3,0
1381,Aqib Iqbal (Aut),2019-2021,12,4,2,32,12*,16.00,39,82.05,0,0,0,1,1
1382,WD Balaji Rao (CAN),2008-2008,4,4,1,32,22*,10.66,30,106.66,0,0,1,1,2
1383,TS Braat (NED),2019-2021,6,3,1,32,26*,16.00,34,94.11,0,0,0,4,1
1384,SE Findlay (WI),2008-2008,2,2,0,32,19,16.00,31,103.22,0,0,0,4,0
1385,TG Gordon (CAN),2012-2012,3,3,0,32,23,10.66,37,86.48,0,0,0,3,0
1386,J Jemison (Bhm),2022-2022,5,4,1,32,13,10.66,46,69.56,0,0,1,0,0
1387,GA Lamb (ZIM),2010-2010,5,4,2,32,14*,16.00,54,59.25,0,0,1,1,0
1388,CE McConchie (NZ),2021-2021,5,4,2,32,17*,16.00,28,114.28,0,0,2,3,0
1389,S Movva (CAN),2021-2022,3,1,0,32,32,32.00,30,106.66,0,0,0,3,1
1390,GH O'Brien (BMUDA),2008-2019,11,6,2,32,7*,8.00,38,84.21,0,0,1,1,2
1391,SNJ O'Keefe (AUS),2010-2011,7,5,0,32,22,6.40,26,123.07,0,0,0,4,1
1392,Rahmatullah Mangal (Fran),2021-2021,4,3,1,32,18,16.00,31,103.22,0,0,0,2,1
1393,TW Samuels (Blz),2021-2021,5,5,1,32,17,8.00,43,74.41,0,0,1,2,0
1394,KRP Silva (USA),2019-2019,2,2,0,32,25,16.00,12,266.66,0,0,0,2,3
1395,JC Tredwell (ENG),2012-2014,17,6,3,32,22,10.66,20,160.00,0,0,1,4,1
1396,AM Tribe (JER),2021-2021,5,4,0,32,14,8.00,37,86.48,0,0,0,2,0
1397,OR Willis (Caym),2019-2022,6,5,0,32,15,6.40,70,45.71,0,0,0,0,1
1398,JJ Wright (),2021-2021,5,5,1,32,19*,8.00,33,96.96,0,0,2,1,1
1399,R Abdulkareem (NGA),2021-2021,7,4,2,31,13*,15.50,32,96.87,0,0,0,4,0
1400,A Ahmadhel (BUL),2019-2021,9,7,1,31,15,5.16,44,70.45,0,0,1,3,0
1401,EF Beard (IOM),2021-2021,4,2,2,31,17*,-,23,134.78,0,0,0,2,1
1402,TR Birt (AUS),2010-2012,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1
1403,P Chandran (Mex),2019-2019,3,3,0,31,23,10.33,47,65.95,0,0,1,2,1
1404,JW Dernbach (ENG/ITA),2011-2021,40,10,4,31,12,5.16,32,96.87,0,0,1,4,0
1405,R Dravid (INDIA),2011-2011,1,1,0,31,31,31.00,21,147.61,0,0,0,0,3
1406,Ibrahim Rizan (Mald),2019-2021,12,10,3,31,9*,4.42,53,58.49,0,0,2,3,0
1407,Jahurul Islam (BAN),2010-2013,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1
1408,Jasdeep Singh (USA),2019-2019,4,2,0,31,31,15.50,25,124.00,0,0,1,0,3
1409,GBW Munaweera (QAT),2019-2021,16,5,3,31,8,15.50,30,103.33,0,0,0,3,0
1410,PA Nixon (ENG),2007-2007,1,1,1,31,31*,-,22,140.90,0,0,0,2,1
1411,H Osinde (CAN),2008-2013,11,6,2,31,17,7.75,34,91.17,0,0,0,1,2
1412,Ali Raza (Belg),2021-2021,3,2,1,31,31*,31.00,25,124.00,0,0,1,2,1
1413,Saqlain Ali (Belg),2019-2021,6,4,1,31,26*,10.33,52,59.61,0,0,0,3,0
1414,ACF Stokes (GUE),2019-2020,8,5,0,31,16,6.20,26,119.23,0,0,3,6,0
1415,JK Theodore (Ghana),2021-2021,11,5,1,31,13,7.75,33,93.93,0,0,1,3,1
1416,HN Ya France (NAM),2019-2021,13,8,3,31,13,6.20,33,93.93,0,0,1,2,1
1417,P Abanda (CAM),2021-2021,4,4,0,30,13,7.50,56,53.57,0,0,0,6,0
1418,TA Boult (NZ),2013-2021,44,11,6,30,8,6.00,40,75.00,0,0,1,2,0
1419,D Cato (Caym),2019-2019,3,3,0,30,20,10.00,59,50.84,0,0,0,2,0
1420,JC Darji (TAN),2021-2021,7,6,0,30,16,5.00,44,68.18,0,0,3,4,0
1421,E Ernest (SLE),2021-2021,10,7,2,30,14,6.00,50,60.00,0,0,3,2,0
1422,B Fernando (SL),2015-2022,9,3,2,30,20,30.00,28,107.14,0,0,0,2,1
1423,WW Hinds (WI),2006-2010,5,5,1,30,14,7.50,41,73.17,0,0,1,3,0
1424,Imran Butt (BHR),2020-2020,4,3,0,30,17,10.00,25,120.00,0,0,0,3,1
1425,M Kadyan (BUL),2021-2021,2,2,0,30,25,15.00,28,107.14,0,0,0,2,2
1426,Navid Balouch (Iran),2020-2020,3,3,1,30,19*,15.00,50,60.00,0,0,0,1,0
1427,Sharafuddin Ashraf (AFG),2015-2022,11,6,2,30,18,7.50,33,90.90,0,0,1,1,1
1428,MJ Swepson (AUS),2018-2021,7,4,4,30,14*,-,22,136.36,0,0,0,1,2
1429,Yusuf Bhoola (PNM),2021-2021,5,5,1,30,18,7.50,44,68.18,0,0,0,4,0
1430,Abdullah Akbarjan (Aut),2019-2021,8,2,0,29,29,14.50,17,170.58,0,0,1,3,1
1431,LA Burns (ESP),2022-2022,4,3,1,29,15*,14.50,20,145.00,0,0,0,3,1
1432,SR Mohan (SEY),2021-2021,6,5,2,29,20,9.66,52,55.76,0,0,2,2,0
1433,SH Obed (VAN),2019-2019,12,7,2,29,9,5.80,41,70.73,0,0,0,1,0
1434,C Pengkumta (THAI),2019-2020,5,4,2,29,18,14.50,41,70.73,0,0,0,2,0
1435,S Rossi (Arg),2019-2019,5,4,1,29,13,9.66,27,107.40,0,0,0,2,1
1436,J Salazar (Peru),2019-2019,2,2,1,29,20*,29.00,36,80.55,0,0,0,0,0
1437,M Simmons (BMUDA),2019-2021,6,4,1,29,18*,9.66,28,103.57,0,0,2,1,1
1438,Tejwinder Singh (CYP),2021-2021,6,4,0,29,22,7.25,18,161.11,0,0,1,2,2
1439,T Tshose (BOT),2019-2021,5,4,4,29,21*,-,20,145.00,0,0,0,1,1
1440,AG Weligamage (HUN),2021-2021,4,3,1,29,21,14.50,25,116.00,0,0,0,0,3
1441,Ahsan Malik (NED),2012-2017,31,8,5,28,11*,9.33,30,93.33,0,0,1,1,1
1442,KK Ahuja (Mex),2019-2019,8,7,0,28,8,4.00,50,56.00,0,0,1,1,1
1443,Amir Sharif (ITA),2021-2021,3,3,1,28,22*,14.00,27,103.70,0,0,0,1,1
1444,Amjad Khan (UAE),2015-2016,4,3,0,28,24,9.33,30,93.33,0,0,0,3,1
1445,G Bakiweyem (Ghana),2019-2021,12,6,4,28,15*,14.00,40,70.00,0,0,0,0,0
1446,R Goodwin (PHI),2019-2022,9,9,2,28,16*,4.00,55,50.90,0,0,4,1,0
1447,J Liyanage (SL),2022-2022,3,3,0,28,11,9.33,45,62.22,0,0,0,0,0
1448,EJB Miles (JER),2019-2021,17,4,2,28,16,14.00,31,90.32,0,0,0,1,0
1449,Muhammad Murad (QAT),2021-2021,4,3,2,28,14,28.00,22,127.27,0,0,0,0,3
1450,Muhammad Wafiq (MAL),2019-2022,11,6,2,28,12,7.00,32,87.50,0,0,1,1,2
1451,Muslim Yar (GER),2019-2022,17,4,1,28,14,9.33,30,93.33,0,0,0,1,1
1452,A Nanda (LUX),2019-2021,8,3,1,28,21*,14.00,28,100.00,0,0,0,1,1
1453,A Nehra (INDIA),2009-2017,27,5,0,28,22,5.60,39,71.79,0,0,3,1,2
1454,B Niaz (Belg),2021-2021,7,4,1,28,20*,9.33,87,32.18,0,0,1,0,0
1455,Nooruddin Mujadady (GER),2021-2021,5,3,1,28,16*,14.00,17,164.70,0,0,1,2,1
1456,PJ Ongondo (KENYA),2007-2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2
1457,R Pillai (GER),2019-2019,6,5,1,28,14,7.00,44,63.63,0,0,1,1,0
1458,Usman Qadir (PAK),2020-2022,18,5,3,28,18*,14.00,20,140.00,0,0,1,2,1
1459,Vinod Kumar (ESP),2019-2020,4,4,1,28,17,9.33,34,82.35,0,0,0,3,0
1460,V Zimonjic (SRB),2021-2021,4,3,0,28,15,9.33,24,116.66,0,0,0,3,1
1461,Ahmed Wardak (GER),2019-2020,10,4,2,27,20*,13.50,38,71.05,0,0,0,1,0
1462,TP Allen (USA),2019-2019,5,3,1,27,11*,13.50,17,158.82,0,0,0,0,3
1463,NE Bonner (WI),2011-2012,2,2,0,27,24,13.50,38,71.05,0,0,0,2,0
1464,BJ Davidson (SRB),2021-2021,4,4,0,27,18,6.75,46,58.69,0,0,1,4,0
1465,RM Dorji (BHU),2019-2019,1,1,0,27,27,27.00,23,117.39,0,0,0,0,4
1466,H Fennell (Arg),2019-2021,11,6,2,27,25*,6.75,24,112.50,0,0,4,4,1
1467,S Hongsi (THAI),2019-2019,3,3,3,27,11*,-,16,168.75,0,0,0,3,1
1468,Imal Zuwak (SWE),2021-2021,4,4,1,27,17,9.00,59,45.76,0,0,0,1,0
1469,Kapil Kumar (PHI),2022-2022,2,2,0,27,23,13.50,48,56.25,0,0,0,2,1
1470,Mohammad Iqbal (CAN),2008-2008,3,3,0,27,22,9.00,39,69.23,0,0,0,1,0
1471,Nadif Chowdhury (BAN),2006-2007,3,3,0,27,12,9.00,23,117.39,0,0,0,2,0
1472,OE Olaleye (NGA),2021-2021,5,5,0,27,16,5.40,35,77.14,0,0,1,5,0
1473,SS Pathirana (SL),2016-2017,5,5,0,27,14,5.40,24,112.50,0,0,0,3,0
1474,Shapoor Zadran (AFG),2010-2020,36,13,6,27,13,3.85,65,41.53,0,0,3,0,3
1475,Shoaib Qureshi (Fin),2019-2019,5,4,0,27,12,6.75,34,79.41,0,0,1,2,0
1476,MP Vaughan (ENG),2005-2007,2,2,0,27,27,13.50,22,122.72,0,0,1,4,0
1477,Waqas Ali (Belg),2019-2019,2,2,0,27,14,13.50,31,87.09,0,0,0,0,2
1478,Zulfiqar Babar (PAK),2013-2014,7,3,3,27,13*,-,27,100.00,0,0,0,2,1
1479,TB de Bruyn (SA),2017-2017,2,2,0,26,19,13.00,16,162.50,0,0,0,3,1
1480,P Florin (ROM),2019-2021,16,8,5,26,14,8.66,31,83.87,0,0,1,2,0
1481,D Ganga (WI),2006-2006,1,1,0,26,26,26.00,31,83.87,0,0,0,3,1
1482,Izatullah Dawlatzai (AFG/GER),2012-2020,16,4,3,26,24*,26.00,16,162.50,0,0,0,2,2
1483,CT Mumba (ZIM),2020-2020,2,2,1,26,25,26.00,17,152.94,0,0,0,3,1
1484,TJ Murtagh (IRE),2012-2016,14,5,3,26,12*,13.00,25,104.00,0,0,0,0,1
1485,SN Netravalkar (USA),2019-2021,15,4,2,26,12,13.00,23,113.04,0,0,0,1,1
1486,LN Oluoch (KENYA),2013-2019,10,6,3,26,7*,8.66,33,78.78,0,0,0,2,0
1487,E Otieno (KENYA),2012-2021,25,10,4,26,8,4.33,52,50.00,0,0,2,0,1
1488,TK Saha (Fin),2019-2019,4,4,3,26,18*,26.00,23,113.04,0,0,0,1,0
1489,Scott Austin (CYP),2021-2021,4,3,0,26,21,8.66,32,81.25,0,0,1,3,0
1490,L Shafeeg (Mald),2019-2021,8,5,2,26,19*,8.66,27,96.29,0,0,3,2,1
1491,P Agnihotri (NOR),2019-2019,2,2,0,25,19,12.50,36,69.44,0,0,0,2,0
1492,RA Bhatti (CAN),2012-2012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0
1493,Bilal Khan (OMA),2015-2022,46,17,11,25,6*,4.16,42,59.52,0,0,4,1,0
1494,G Chohan (PHI),2022-2022,5,3,1,25,17,12.50,29,86.20,0,0,0,2,0
1495,AM Ellis (NZ),2012-2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1
1496,CRD Fernando (SL),2006-2016,18,7,2,25,21,5.00,27,92.59,0,0,2,4,0
1497,G Goudie (SCOT),2010-2013,9,6,2,25,9*,6.25,20,125.00,0,0,0,2,1
1498,A Halbhavi (LUX),2021-2021,3,3,0,25,21,8.33,33,75.75,0,0,1,4,0
1499,Hassan Mehmood (SWE),2021-2021,5,5,3,25,9,12.50,31,80.64,0,0,0,0,1
1500,T Jamtsho (BHU),2019-2019,2,2,1,25,19,25.00,27,92.59,0,0,0,1,1
1501,JH Kiani (PHI),2019-2019,4,3,1,25,13,12.50,36,69.44,0,0,0,2,0
1502,RK Kleinveldt (SA),2008-2013,6,3,2,25,22,25.00,10,250.00,0,0,0,1,3
1503,Muhammad Amir (MAL),2019-2022,5,3,0,25,16,8.33,31,80.64,0,0,0,2,1
1504,G Murali (CRC),2019-2019,3,3,0,25,14,8.33,44,56.81,0,0,0,1,0
1505,AA Navicha (MOZ),2021-2021,2,2,0,25,21,12.50,34,73.52,0,0,0,2,1
1506,PM Nevill (AUS),2016-2016,9,5,4,25,10*,25.00,11,227.27,0,0,0,1,2
1507,SO Olayinka (NGA),2021-2021,3,3,0,25,24,8.33,34,73.52,0,0,1,1,2
1508,Raza-ur-Rehman (CAN),2012-2013,5,4,0,25,10,6.25,29,86.20,0,0,0,3,0
1509,Shahriar Nafees (BAN),2006-2006,1,1,0,25,25,25.00,17,147.05,0,0,0,3,1
1510,A Srivastav (Chile),2019-2019,4,4,0,25,21,6.25,37,67.56,0,0,2,2,0
1511,Tahir Dar (BHR),2019-2019,4,2,0,25,15,12.50,25,100.00,0,0,0,1,2
1512,Adil Hanif (BHR),2019-2019,4,2,0,24,16,12.00,23,104.34,0,0,0,3,0
1513,Atif Mehmood (ESP),2019-2021,12,5,3,24,15,12.00,28,85.71,0,0,0,1,1
1514,MO Bacarese (GIBR),2019-2019,3,2,0,24,13,12.00,37,64.86,0,0,0,0,1
1515,OO Bascome (BMUDA),2008-2019,3,3,0,24,16,8.00,29,82.75,0,0,0,3,0
1516,TD Chaoana (LES),2021-2021,5,3,2,24,19*,24.00,29,82.75,0,0,0,2,0
1517,LA Collado (GIBR),2019-2021,9,5,3,24,8,12.00,41,58.53,0,0,1,1,0
1518,Fareed Ahmad (AFG),2016-2021,16,1,1,24,24*,-,15,160.00,0,0,0,4,0
1519,MGSM Fernando (ITA),2021-2021,6,3,0,24,14,8.00,19,126.31,0,0,0,2,1
1520,JN Gillespie (AUS),2005-2005,1,1,0,24,24,24.00,18,133.33,0,0,0,4,0
1521,Jagjit Singh (Peru),2019-2019,4,4,0,24,12,6.00,30,80.00,0,0,0,1,0
1522,MJ McClenaghan (ICC/NZ),2012-2018,29,8,4,24,10,6.00,23,104.34,0,0,2,1,2
1523,Qudratullah Mir Afzail (SWE),2021-2021,6,5,2,24,13*,8.00,21,114.28,0,0,0,3,0
1524,Rameez Raja (2) (PAK),2011-2011,2,2,0,24,23,12.00,29,82.75,0,0,0,2,0
1525,B Regmi (NEPAL),2014-2019,18,11,4,24,11,3.42,56,42.85,0,0,1,2,0
1526,CP Schofield (ENG),2007-2007,4,4,3,24,9*,24.00,20,120.00,0,0,0,2,0
1527,P Useni (NGA),2021-2021,16,8,7,24,7*,24.00,32,75.00,0,0,0,2,0
1528,KJ Abbott (SA),2013-2016,21,6,4,23,9*,11.50,20,115.00,0,0,0,2,0
1529,Ali Waqar (CZK-R),2021-2021,6,3,0,23,15,7.66,30,76.66,0,0,0,2,0
1530,Ashwin Vinod (SUI),2021-2021,4,2,2,23,15*,-,16,143.75,0,0,0,1,1
1531,AB Barath (WI),2010-2011,2,2,0,23,15,11.50,39,58.97,0,0,0,3,0
1532,Bilawal Bhatti (PAK),2013-2015,9,4,2,23,13*,11.50,14,164.28,0,0,1,2,1
1533,DL Brangman (BMUDA),2019-2019,5,4,2,23,23*,11.50,25,92.00,0,0,2,2,1
1534,LA Dawson (ENG),2016-2022,8,4,1,23,10,7.66,19,121.05,0,0,0,3,1
1535,C Floyd (NED),2019-2019,2,2,1,23,21,23.00,23,100.00,0,0,0,2,1
1536,S Gasteratos (GRC),2021-2021,4,3,1,23,17*,11.50,33,69.69,0,0,0,3,0
1537,Hardev Singh (Chile),2019-2019,3,3,0,23,17,7.66,48,47.91,0,0,0,1,0
1538,RK Inampud (Mex),2019-2019,3,3,2,23,17*,23.00,28,82.14,0,0,0,0,1
1539,N Master (BOT),2019-2019,2,2,0,23,21,11.50,18,127.77,0,0,0,4,0
1540,MV Matsau (LES),2021-2021,5,5,2,23,22,7.66,28,82.14,0,0,2,2,0
1541,T Panyangara (ZIM),2013-2016,14,5,4,23,17*,23.00,17,135.29,0,0,0,1,2
1542,TAW Patterson (Blz),2021-2021,3,3,0,23,16,7.66,47,48.93,0,0,1,2,0
1543,VM Sachdev (PNM),2019-2019,2,2,1,23,12*,23.00,31,74.19,0,0,0,2,0
1544,PADLR Sandakan (SL),2017-2021,20,7,4,23,10,7.66,38,60.52,0,0,0,2,0
1545,Shafiul Islam (BAN),2010-2020,20,6,1,23,16,4.60,33,69.69,0,0,1,1,1
1546,S Sohal (USA),2019-2019,3,2,0,23,18,11.50,29,79.31,0,0,0,1,1
1547,Zulqarnain Haider (PAK),2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0
1548,Abdur Rehman (PAK),2007-2013,8,5,3,22,7*,11.00,29,75.86,0,0,0,0,0
1549,DNA Ankrah (Ghana),2019-2019,4,3,0,22,12,7.33,43,51.16,0,0,0,2,0
1550,DL Chahar (INDIA),2018-2022,20,5,5,22,21*,-,9,244.44,0,0,0,2,1
1551,PC de Silva (SL),2017-2017,2,2,0,22,21,11.00,22,100.00,0,0,0,1,0
1552,AB Dinda (INDIA),2009-2012,9,2,1,22,19,22.00,24,91.66,0,0,0,1,0
1553,A Harikumar (BUL),2021-2021,1,1,0,22,22,22.00,13,169.23,0,0,0,3,0
1554,PJ Ingram (NZ),2010-2010,3,3,1,22,20*,11.00,35,62.85,0,0,1,3,0
1555,A Kansonkho (MWI),2021-2021,6,3,1,22,20*,11.00,19,115.78,0,0,1,2,1
1556,LD Madushanka (SL),2019-2021,3,3,0,22,20,7.33,29,75.86,0,0,0,1,0
1557,S Mahmood (ENG),2019-2022,12,7,4,22,7*,7.33,28,78.57,0,0,1,2,0
1558,M Morkel (SA/World),2007-2017,44,8,5,22,8*,7.33,18,122.22,0,0,0,3,1
1559,DP Nannes (AUS/NED),2009-2010,17,5,3,22,12*,11.00,18,122.22,0,0,0,1,1
1560,FL Reifer (WI),2009-2009,1,1,0,22,22,22.00,20,110.00,0,0,0,2,1
1561,LA Simango (MOZ),2019-2021,7,5,4,22,9*,22.00,31,70.96,0,0,0,2,0
1562,Umair Ali (UAE),2015-2015,3,3,2,22,13,22.00,18,122.22,0,0,0,2,1
1563,Anas Khan (HKG),2014-2014,1,1,1,21,21*,-,28,75.00,0,0,0,2,0
1564,A Bohara (NEPAL),2019-2022,36,10,6,21,12,5.25,24,87.50,0,0,2,1,1
1565,SE Bond (NZ),2005-2010,20,8,3,21,8*,4.20,21,100.00,0,0,2,2,0
1566,T Bukenya (UGA),2020-2021,4,3,3,21,12*,-,18,116.66,0,0,0,0,2
1567,BB Chari (ZIM),2019-2019,3,3,0,21,19,7.00,31,67.74,0,0,1,4,0
1568,Fayaz Khan (GER),2021-2022,6,4,1,21,15*,7.00,20,105.00,0,0,1,1,1
1569,MR Gillespie (NZ),2006-2008,11,6,4,21,7,10.50,29,72.41,0,0,0,0,0
1570,S Grover (CZK-R),2021-2021,4,3,2,21,14*,21.00,14,150.00,0,0,0,1,1
1571,JR Hazlewood (AUS),2013-2022,27,6,4,21,13*,10.50,13,161.53,0,0,1,2,1
1572,R Hekure (PNG),2019-2022,12,7,1,21,6,3.50,33,63.63,0,0,0,1,0
1573,DJ Hooda (INDIA),2022-2022,3,1,0,21,21,21.00,16,131.25,0,0,0,1,1
1574,Imam-ul-Haq (PAK),2019-2019,2,2,0,21,14,10.50,25,84.00,0,0,0,2,0
1575,Kamran Shazad (UAE),2014-2014,3,2,0,21,21,10.50,17,123.52,0,0,1,1,2
