,Player,TEST_Span,TEST_Matches,TEST_Innings,TEST_Not-Outs,TEST_RunsMade,TESTHighest-Score,TEST_Batting_Average,TEST_Hundereds,TEST_Fifties,TEST_Ducks
1484,JJ Bumrah (INDIA),2018-2022,29,44,16,174,34*,6.21,0,0,15
1485,RJ Inverarity (AUS),1968-1972,6,11,1,174,56,17.40,0,1,1
1486,CR Miller (AUS),1998-2001,18,24,3,174,43,8.28,0,0,7
1487,CH Morris (SA),2016-2017,4,7,0,173,69,24.71,0,1,0
1488,KH Weekes (WI),1939-1939,2,3,0,173,137,57.66,1,0,0
1489,Afsar Zazai (AFG),2018-2021,5,8,1,172,48*,24.57,0,0,1
1490,Inshan Ali (WI),1971-1977,12,18,2,172,25,10.75,0,0,3
1491,ST Clarke (WI),1978-1982,11,16,5,172,35*,15.63,0,0,2
1492,MF Kent (AUS),1981-1981,3,6,0,171,54,28.50,0,2,0
1493,CS Pandit (INDIA),1986-1992,5,8,1,171,39,24.42,0,0,0
1494,OC Scott (WI),1928-1931,8,13,3,171,35,17.10,0,0,1
1495,GM Carew (WI),1935-1949,4,7,1,170,107,28.33,1,0,1
1496,C Gladwin (ENG),1947-1949,8,11,5,170,51*,28.33,0,1,0
1497,MJ Hartigan (AUS),1908-1908,2,4,0,170,116,42.50,1,0,0
1498,J Iddon (ENG),1935-1935,5,7,1,170,73,28.33,0,2,3
1499,C Ramaswami (INDIA),1936-1936,2,4,1,170,60,56.66,0,1,0
1500,Tanvir Ahmed (PAK),2010-2013,5,7,2,170,57,34.00,0,1,0
1501,KC Ibrahim (INDIA),1948-1949,4,8,0,169,85,21.12,0,1,1
1502,RA Young (NZ),2011-2011,5,10,3,169,57,24.14,0,1,1
1503,SE Bond (NZ),2001-2009,18,20,7,168,41*,12.92,0,0,1
1504,SH Curnow (SA),1930-1932,7,14,0,168,47,12.00,0,0,0
1505,FGJ Ford (ENG),1894-1895,5,9,0,168,48,18.66,0,0,1
1506,F Hearne (ENG/SA),1889-1896,6,10,0,168,30,16.80,0,0,2
1507,WVS Ling (SA),1921-1923,6,10,0,168,38,16.80,0,0,3
1508,Anil Dalpat (PAK),1984-1985,9,12,1,167,52,15.18,0,1,0
1509,BS Chandrasekhar (INDIA),1964-1979,58,80,39,167,22,4.07,0,0,23
1510,M Watkinson (ENG),1995-1996,4,6,1,167,82*,33.40,0,1,1
1511,SW Ambris (WI),2017-2018,6,12,1,166,43,15.09,0,0,2
1512,JP Fellows-Smith (SA),1960-1960,4,8,2,166,35,27.66,0,0,0
1513,EAC Hunte (WI),1930-1930,3,6,1,166,58,33.20,0,2,0
1514,KR Pushpakumara (SL),1994-2001,23,31,12,166,44,8.73,0,0,5
1515,RJ Westcott (SA),1954-1958,5,9,0,166,62,18.44,0,1,2
1516,Abul Hasan (BAN),2012-2013,3,5,3,165,113,82.50,1,0,0
1517,PK Sen (INDIA),1948-1952,14,18,4,165,25,11.78,0,0,1
1518,ML Su'a (NZ),1992-1995,13,18,5,165,44,12.69,0,0,5
1519,MC Henriques (AUS),2013-2016,4,8,1,164,81*,23.42,0,2,2
1520,Mosaddek Hossain (BAN),2017-2019,3,6,2,164,75,41.00,0,1,0
1521,PH Punjabi (INDIA),1955-1955,5,10,0,164,33,16.40,0,0,0
1522,A Ratra (INDIA),2002-2002,6,10,1,163,115*,18.11,1,0,1
1523,RE Redmond (NZ),1973-1973,1,2,0,163,107,81.50,1,1,0
1524,JA Warrican (WI),2015-2021,13,23,9,163,41,11.64,0,0,1
1525,HD Ackerman (SA),1998-1998,4,8,0,161,57,20.12,0,1,0
1526,CJ Poole (ENG),1951-1952,3,5,1,161,69*,40.25,0,2,0
1527,WJ Whitty (AUS),1909-1912,14,19,7,161,39*,13.41,0,0,3
1528,EG Arnold (ENG),1903-1907,10,15,3,160,40,13.33,0,0,5
1529,CL Badcock (AUS),1936-1938,7,12,1,160,118,14.54,1,0,4
1530,CI Dunusinghe (SL),1995-1995,5,10,0,160,91,16.00,0,1,3
1531,T Emmett (ENG),1877-1882,7,13,1,160,48,13.33,0,0,1
1532,CH Parkin (ENG),1920-1924,10,16,3,160,36,12.30,0,0,1
1533,OJ Phillips (WI),2009-2009,2,4,0,160,94,40.00,0,1,0
1534,CT Studd (ENG),1882-1883,5,9,1,160,48,20.00,0,0,2
1535,PD Lashley (WI),1960-1966,4,7,0,159,49,22.71,0,0,1
1536,Saif Hassan (BAN),2020-2021,6,11,0,159,43,14.45,0,0,3
1537,DD Taylor (NZ),1947-1956,3,5,0,159,77,31.80,0,1,0
1538,CEH Croft (WI),1977-1982,27,37,22,158,33,10.53,0,0,6
1539,WP Howell (AUS),1898-1904,18,27,6,158,35,7.52,0,0,8
1540,GF Labrooy (SL),1986-1991,9,14,3,158,70*,14.36,0,1,3
1541,DR O'Sullivan (NZ),1973-1976,11,21,4,158,23*,9.29,0,0,2
1542,SC Griffith (ENG),1948-1949,3,5,0,157,140,31.40,1,0,1
1543,AP Lucas (ENG),1879-1884,5,9,1,157,55,19.62,0,1,0
1544,PJ Malan (SA),2020-2020,3,6,0,156,84,26.00,0,1,0
1545,DAR Moloney (NZ),1937-1937,3,6,0,156,64,26.00,0,1,1
1546,Naushad Ali (PAK),1965-1965,6,11,0,156,39,14.18,0,0,0
1547,JC Archer (ENG),2019-2021,13,20,0,155,30,7.75,0,0,3
1548,Z de Bruyn (SA),2004-2004,3,5,1,155,83,38.75,0,1,0
1549,Rashid Khan (PAK),1982-1985,4,6,3,155,59,51.66,0,1,1
1550,AP Freeman (ENG),1924-1929,12,16,5,154,50*,14.00,0,1,2
1551,I Meckiff (AUS),1957-1963,18,20,7,154,45*,11.84,0,0,2
1552,SMJ Woods (AUS/ENG),1888-1896,6,10,0,154,53,15.40,0,1,2
1553,Akram Raza (PAK),1989-1995,9,12,2,153,32,15.30,0,0,3
1554,HF Boyle (AUS),1879-1884,12,16,4,153,36*,12.75,0,0,2
1555,OC da Costa (WI),1930-1935,5,9,1,153,39,19.12,0,0,1
1556,R Dumbrill (SA),1965-1967,5,10,0,153,36,15.30,0,0,0
1557,RG Gregory (AUS),1937-1937,2,3,0,153,80,51.00,0,2,0
1558,TJ Matthews (AUS),1912-1912,8,10,1,153,53,17.00,0,1,1
1559,J O'Connor (ENG),1929-1930,4,7,0,153,51,21.85,0,1,1
1560,PCR Tufnell (ENG),1990-2001,42,59,29,153,22*,5.10,0,0,15
1561,RG de Alwis (SL),1983-1988,11,19,0,152,28,8.00,0,0,5
1562,AJ Pycroft (ZIM),1992-1992,3,5,0,152,60,30.40,0,1,0
1563,EFS Tylecote (ENG),1882-1886,6,9,1,152,66,19.00,0,1,4
1564,FJ Cameron (WI),1948-1949,5,7,1,151,75*,25.16,0,1,1
1565,RK Oxenham (AUS),1928-1931,7,10,0,151,48,15.10,0,0,2
1566,SR Patel (ENG),2012-2015,6,9,0,151,42,16.77,0,0,2
1567,WR Playle (NZ),1958-1963,8,15,0,151,65,10.06,0,1,3
1568,W Attewell (ENG),1884-1892,10,15,6,150,43*,16.66,0,0,4
1569,AE Fagg (ENG),1936-1939,5,8,0,150,39,18.75,0,0,0
1570,JD Nel (SA),1949-1957,6,11,0,150,38,13.63,0,0,1
1571,GJ Batty (ENG),2003-2016,9,12,2,149,38,14.90,0,0,2
1572,P Kumar (INDIA),2011-2011,6,10,0,149,40,14.90,0,0,2
1573,J Birkenshaw (ENG),1973-1974,5,7,0,148,64,21.14,0,1,1
1574,Shadab Kabir (PAK),1996-2002,5,7,0,148,55,21.14,0,1,0
1575,BJT Bosanquet (ENG),1903-1905,7,14,3,147,27,13.36,0,0,0
1576,SC Joseph (WI),2004-2007,5,10,0,147,45,14.70,0,0,1
1577,S Randiv (SL),2010-2012,12,17,1,147,39,9.18,0,0,3
1578,NB Mahwire (ZIM),2002-2005,10,17,6,147,50*,13.36,0,1,2
1579,CS Nayudu (INDIA),1934-1952,11,19,3,147,36,9.18,0,0,3
1580,NAT Adcock (SA),1953-1962,26,39,12,146,24,5.40,0,0,9
1581,A Balbirnie (IRE),2018-2019,3,6,0,146,82,24.33,0,2,2
1582,RW McLeod (AUS),1892-1893,6,11,0,146,31,13.27,0,0,0
1583,Sikander Bakht (PAK),1976-1983,26,35,12,146,22*,6.34,0,0,4
1584,CL White (AUS),2008-2008,4,7,2,146,46,29.20,0,0,0
1585,Lord Harris (ENG),1879-1884,4,6,1,145,52,29.00,0,1,0
1586,R Howorth (ENG),1947-1948,5,10,2,145,45*,18.12,0,0,0
1587,EH Mattis (WI),1981-1981,4,5,0,145,71,29.00,0,1,1
1588,BP Patterson (WI),1986-1992,28,38,16,145,21*,6.59,0,0,8
1589,V Permaul (WI),2012-2022,9,13,2,145,26*,13.18,0,0,3
1590,Shaheen Shah Afridi (PAK),2018-2022,24,31,8,145,19,6.30,0,0,7
1591,Mohammad Nazir (PAK),1969-1983,14,18,10,144,29*,18.00,0,0,3
1592,KR Patterson (AUS),2019-2019,2,2,1,144,114*,144.00,1,0,0
1593,W Place (ENG),1948-1948,3,6,1,144,107,28.80,1,0,0
1594,Zulfiqar Babar (PAK),2013-2016,15,18,9,144,56,16.00,0,1,2
1595,EL a'Beckett (AUS),1928-1932,4,7,0,143,41,20.42,0,0,0
1596,RE Marshall (WI),1951-1952,4,7,0,143,30,20.42,0,0,1
1597,CPH Ramanayake (SL),1988-1993,18,24,9,143,34*,9.53,0,0,7
1598,SS Dighe (INDIA),2001-2001,6,10,1,141,47,15.66,0,0,1
1599,DRE Joseph (WI),1999-1999,4,7,0,141,50,20.14,0,1,0
1600,GB Lawrence (SA),1961-1962,5,8,0,141,43,17.62,0,0,2
1601,Mohammad Asif (PAK),2005-2010,23,38,13,141,29,5.64,0,0,14
1602,SS Naik (INDIA),1974-1975,3,6,0,141,77,23.50,0,1,1
1603,AL Valentine (WI),1950-1962,36,51,21,141,14,4.70,0,0,12
1604,R Chandrika (WI),2015-2016,5,10,0,140,37,14.00,0,0,3
1605,TS Curtis (ENG),1988-1989,5,9,0,140,41,15.55,0,0,1
1606,GR Robertson (AUS),1998-1998,4,7,0,140,57,20.00,0,1,2
1607,MD Shanaka (SL),2016-2021,6,12,2,140,66*,14.00,0,1,2
1608,DW Begbie (SA),1948-1950,5,7,0,138,48,19.71,0,0,0
1609,DB Pithey (SA),1963-1967,8,12,1,138,55,12.54,0,1,1
1610,FT Badcock (NZ),1930-1933,7,9,2,137,64,19.57,0,2,3
1611,LS Birkett (WI),1930-1931,4,8,0,136,64,17.00,0,1,1
1612,JW D'Arcy (NZ),1958-1958,5,10,0,136,33,13.60,0,0,0
1613,SR Harmer (SA),2015-2022,7,9,2,136,38*,19.42,0,0,0
1614,TV Hohns (AUS),1989-1989,7,7,1,136,40,22.66,0,0,1
1615,Rahat Ali (PAK),2013-2018,21,31,13,136,35*,7.55,0,0,8
1616,Surendra Nath (INDIA),1958-1961,11,20,7,136,27,10.46,0,0,4
1617,KBJ Azad (INDIA),1981-1983,7,12,0,135,24,11.25,0,0,2
1618,DB Carr (ENG),1951-1952,2,4,0,135,76,33.75,0,1,0
1619,A Dananjaya (SL),2018-2019,6,10,2,135,43*,16.87,0,0,3
1620,GF Linde (SA),2019-2021,3,6,0,135,37,22.50,0,0,0
1621,Azeem Hafeez (PAK),1983-1985,18,21,5,134,24,8.37,0,0,2
1622,TK Musakanda (ZIM),2017-2021,5,9,0,134,43,14.88,0,0,2
1623,DA Sharpe (PAK),1959-1959,3,6,0,134,56,22.33,0,1,0
1624,N Pradeep (SL),2011-2017,28,50,17,132,17*,4.00,0,0,18
1625,TCB Fernando (SL),2001-2002,9,8,3,132,45,26.40,0,0,1
1626,PW Jarvis (ENG),1988-1993,9,15,2,132,29*,10.15,0,0,1
1627,E Wainwright (ENG),1893-1898,5,9,0,132,49,14.66,0,0,0
1628,EL Bartlett (WI),1928-1931,5,8,1,131,84,18.71,0,1,1
1629,GC Dyer (AUS),1986-1988,6,6,0,131,60,21.83,0,1,1
1630,DL Piedt (SA),2014-2019,9,12,1,131,56,11.90,0,1,2
1631,V Rathour (INDIA),1996-1997,6,10,0,131,44,13.10,0,0,0
1632,L Tuckett (SA),1947-1949,9,14,3,131,40*,11.90,0,0,3
1633,Imran Tahir (SA),2011-2015,20,23,9,130,29*,9.28,0,0,2
1634,L Sivaramakrishnan (INDIA),1983-1986,9,9,1,130,25,16.25,0,0,1
1635,Hon.FSG Calthorpe (ENG),1930-1930,4,7,0,129,49,18.42,0,0,1
1636,DR Doshi (INDIA),1979-1983,33,38,10,129,20,4.60,0,0,14
1637,CV Gadkari (INDIA),1953-1955,6,10,4,129,50*,21.50,0,1,2
1638,H Gimblett (ENG),1936-1939,3,5,1,129,67*,32.25,0,1,0
1639,JR Mason (ENG),1897-1898,5,10,0,129,32,12.90,0,0,1
1640,RW Tolchard (ENG),1977-1977,4,7,2,129,67,25.80,0,1,1
1641,IJ Ward (ENG),2001-2001,5,9,1,129,39,16.12,0,0,1
1642,HR Bromley-Davenport (ENG),1896-1899,4,6,0,128,84,21.33,0,1,1
1643,M Hendrick (ENG),1974-1981,30,35,15,128,15,6.40,0,0,8
1644,RK Illingworth (ENG),1991-1995,9,14,7,128,28,18.28,0,0,3
1645,KM Jarvis (ZIM),2011-2020,13,24,10,128,25*,9.14,0,0,4
1646,BP Julian (AUS),1993-1995,7,9,1,128,56*,16.00,0,1,3
1647,D Smith (ENG),1935-1935,2,4,0,128,57,32.00,0,1,1
1648,PM Walker (ENG),1960-1960,3,4,0,128,52,32.00,0,1,0
1649,S Chattergoon (WI),2008-2008,4,7,0,127,46,18.14,0,0,0
1650,GR Larsen (NZ),1994-1996,8,13,4,127,26*,14.11,0,0,2
1651,AD Mullally (ENG),1996-2001,19,27,4,127,24,5.52,0,0,12
1652,PJR Steyn (SA),1995-1995,3,6,0,127,46,21.16,0,0,0
1653,ES Atkinson (WI),1958-1959,8,9,1,126,37,15.75,0,0,3
1654,NE Haig (ENG),1921-1930,5,9,0,126,47,14.00,0,0,2
1655,JT Hearne (ENG),1892-1899,12,18,4,126,40,9.00,0,0,3
1656,E Jones (AUS),1894-1902,19,26,1,126,20,5.04,0,0,5
1657,AZ Lees (ENG),2022-2022,3,6,0,126,31,21.00,0,0,0
1658,DL Bairstow (ENG),1979-1981,4,7,1,125,59,20.83,0,1,1
1659,JB Commins (SA),1994-1995,3,6,1,125,45,25.00,0,0,1
1660,Marshall Ayub (BAN),2013-2014,3,6,0,125,41,20.83,0,0,0
1661,WFE Marx (SA),1921-1921,3,6,0,125,36,20.83,0,0,1
1662,Nazimuddin (BAN),2011-2012,3,6,0,125,78,20.83,0,1,2
1663,DM Richards (WI),2009-2010,3,6,0,125,69,20.83,0,1,1
1664,OE Robinson (ENG),2021-2022,9,16,2,125,42,8.92,0,0,6
1665,S Samarawickrama (SL),2017-2017,4,8,0,125,38,15.62,0,0,2
1666,CW Wright (ENG),1896-1896,3,4,0,125,71,31.25,0,1,0
1667,HMCM Bandara (SL),1998-2006,8,11,3,124,43,15.50,0,0,2
1668,CJ Chibhabha (ZIM),2016-2017,3,6,0,124,60,20.66,0,1,0
1669,DA Reeve (ENG),1992-1992,3,5,0,124,59,24.80,0,1,1
1670,RJ Crisp (SA),1935-1936,9,13,1,123,35,10.25,0,0,5
1671,IB Cromb (NZ),1931-1932,5,8,2,123,51*,20.50,0,1,1
1672,Manzoor Elahi (PAK),1984-1995,6,10,2,123,52,15.37,0,1,3
1673,CS Martin (NZ),2000-2013,71,104,52,123,12*,2.36,0,0,36
1674,BA Murphy (ZIM),2000-2001,11,15,3,123,30,10.25,0,0,3
1675,Pervez Sajjad (PAK),1964-1973,19,20,11,123,24,13.66,0,0,2
1676,AB Fudadin (WI),2012-2012,3,5,1,122,55,30.50,0,1,0
1677,Junaid Khan (PAK),2011-2015,22,28,11,122,17,7.17,0,0,5
1678,Mohammad Sharif (BAN),2001-2007,10,20,3,122,24*,7.17,0,0,7
1679,AH Omarshah (ZIM),1992-1996,3,5,0,122,62,24.40,0,1,0
1680,EA Brandes (ZIM),1992-1999,10,15,3,121,39,10.08,0,0,2
1681,JG Dewes (ENG),1948-1950,5,10,0,121,67,12.10,0,1,1
1682,TW Wall (AUS),1929-1934,18,24,5,121,20,6.36,0,0,5
1683,A Mithun (INDIA),2010-2011,4,5,0,120,46,24.00,0,0,1
1684,RJ Bailey (ENG),1988-1990,4,8,0,119,43,14.87,0,0,2
1685,M Jansen (SA),2021-2022,5,8,2,118,37*,19.66,0,0,0
1686,MAR Samarasekera (SL),1988-1991,4,7,0,118,57,16.85,0,1,1
1687,AC Smith (ENG),1962-1963,6,7,3,118,69*,29.50,0,1,0
1688,BGK Walker (NZ),2000-2002,5,8,2,118,27*,19.66,0,0,1
1689,SI de Saram (SL),1999-2000,4,5,0,117,39,23.40,0,0,0
1690,Salahuddin (PAK),1965-1969,5,8,2,117,34*,19.50,0,0,0
1691,PADLR Sandakan (SL),2016-2018,11,17,6,117,25,10.63,0,0,0
1692,WH St Hill (WI),1928-1930,3,6,0,117,38,19.50,0,0,0
1693,FJ Cameron (NZ),1961-1965,19,30,20,116,27*,11.60,0,0,4
1694,W Farrimond (ENG),1931-1935,4,7,0,116,35,16.57,0,0,0
1695,FM King (WI),1953-1956,14,17,3,116,21,8.28,0,0,4
1696,EA McDonald (AUS),1921-1921,11,12,5,116,36,16.57,0,0,1
1697,F Mitchell (ENG/SA),1899-1912,5,10,0,116,41,11.60,0,0,1
1698,RP Singh (INDIA),2006-2011,14,19,3,116,30,7.25,0,0,7
1699,DH Brain (ZIM),1992-1995,9,13,2,115,28,10.45,0,0,4
1700,PJ Martin (ENG),1995-1997,8,13,0,115,29,8.84,0,0,2
1701,H Morris (ENG),1991-1991,3,6,0,115,44,19.16,0,0,0
1702,A Nortje (SA),2019-2021,12,21,4,115,40,6.76,0,0,5
1703,WER Somerville (NZ),2018-2021,6,10,2,115,40*,14.37,0,0,2
1704,GR Beard (AUS),1980-1980,3,5,0,114,49,22.80,0,0,0
1705,ML Cummins (WI),2016-2019,14,22,7,114,24*,7.60,0,0,6
1706,RKJ Dawson (ENG),2001-2003,7,13,3,114,19*,11.40,0,0,0
1707,JJ Ferris (AUS/ENG),1887-1892,9,17,4,114,20*,8.76,0,0,1
1708,RE Grieveson (SA),1939-1939,2,2,0,114,75,57.00,0,1,0
1709,GPD Hartigan (SA),1912-1914,5,10,0,114,51,11.40,0,1,3
1710,ERT Holmes (ENG),1935-1935,5,9,2,114,85*,16.28,0,1,2
1711,RD Rickelton (SA),2022-2022,2,4,1,114,42,38.00,0,0,0
1712,AR Whittall (ZIM),1996-1999,10,18,3,114,17,7.60,0,0,1
1713,CFW Allcott (NZ),1930-1932,6,7,2,113,33,22.60,0,0,0
1714,S Haigh (ENG),1899-1912,11,18,3,113,25,7.53,0,0,4
1715,Javed Ahmadi (AFG),2018-2021,3,6,0,113,62,18.83,0,1,0
1716,HG Kuhn (SA),2017-2017,4,8,0,113,34,14.12,0,0,0
1717,D Shackleton (ENG),1950-1963,7,13,7,113,42,18.83,0,0,0
1718,EJ Smith (ENG),1911-1913,11,14,1,113,22,8.69,0,0,2
1719,CT Tremlett (ENG),2007-2013,12,15,4,113,25*,10.27,0,0,3
1720,EAV Williams (WI),1939-1948,4,6,0,113,72,18.83,0,1,1
1721,ERNS Fernando (SL),1983-1984,5,10,0,112,46,11.20,0,0,3
1722,AG Ganteaume (WI),1948-1948,1,1,0,112,112,112.00,1,0,0
1723,GG Macaulay (ENG),1923-1933,8,10,4,112,76,18.66,0,1,1
1724,GB Stevens (AUS),1959-1960,4,7,0,112,28,16.00,0,0,0
1725,MR Bynoe (WI),1959-1967,4,6,0,111,48,18.50,0,0,0
1726,JD Higgs (AUS),1978-1981,22,36,16,111,16,5.55,0,0,5
1727,HS Kanitkar (INDIA),1974-1974,2,4,0,111,65,27.75,0,1,0
1728,FL Reifer (WI),1997-2009,6,12,0,111,29,9.25,0,0,3
1729,A Shaw (ENG),1877-1882,7,12,1,111,40,10.09,0,0,1
1730,BM Duckett (ENG),2016-2016,4,7,0,110,56,15.71,0,1,1
1731,Ihsanullah (AFG),2019-2019,3,6,1,110,65*,22.00,0,1,0
1732,Mohammad Abbas (PAK),2017-2021,25,36,16,110,29,5.50,0,0,5
1733,PJ Newport (ENG),1988-1991,3,5,1,110,40*,27.50,0,0,1
1734,GE Vivian (NZ),1965-1972,5,6,0,110,43,18.33,0,0,1
1735,TJ Murtagh (IRE),2018-2019,3,6,2,109,54*,27.25,0,1,0
1736,Nayeem Hasan (BAN),2018-2021,7,10,3,109,26,15.57,0,0,1
1737,SD Udal (ENG),2005-2006,4,7,1,109,33*,18.16,0,0,1
1738,Yajurvindra Singh (INDIA),1977-1979,4,7,1,109,43*,18.16,0,0,0
1739,JH Board (ENG),1899-1906,6,12,2,108,29,10.80,0,0,3
1740,CG Butts (WI),1985-1988,7,8,1,108,38,15.42,0,0,1
1741,GM Ewing (ZIM),2003-2005,3,6,0,108,71,18.00,0,1,2
1742,Naoomal Jaoomal (INDIA),1932-1934,3,5,1,108,43,27.00,0,0,0
1743,DA Stirling (NZ),1984-1986,6,9,2,108,26,15.42,0,0,0
1744,SJ Cook (SA),1992-1993,3,6,0,107,43,17.83,0,0,1
1745,CB Jennings (AUS),1912-1912,6,8,2,107,32,17.83,0,0,2
1746,AB McDonald (AUS),2009-2009,4,6,1,107,68,21.40,0,1,1
1747,AH McKinnon (SA),1960-1967,8,13,7,107,27,17.83,0,0,0
1748,P Utseya (ZIM),2004-2013,4,8,1,107,45,15.28,0,0,2
1749,EW Dempster (NZ),1953-1954,5,8,2,106,47,17.66,0,0,2
1750,PHT Kaushal (SL),2014-2015,7,12,2,106,18,10.60,0,0,1
1751,CFH Leslie (ENG),1882-1883,4,7,0,106,54,15.14,0,1,1
1752,LS Pascoe (AUS),1977-1982,14,19,9,106,30*,10.60,0,0,3
1753,MSK Prasad (INDIA),1999-2000,6,10,1,106,19,11.77,0,0,0
1754,D Ramnarine (WI),1998-2002,12,21,4,106,35*,6.23,0,0,8
1755,Rashid Khan (AFG),2018-2021,5,7,0,106,51,15.14,0,1,0
1756,CJE Smith (SA),1902-1902,3,6,1,106,45,21.20,0,0,0
1757,WJ Watson (AUS),1955-1955,4,7,1,106,30,17.66,0,0,1
1758,GE Bradburn (NZ),1990-2001,7,10,2,105,30*,13.12,0,0,1
1759,CB Mpofu (ZIM),2005-2017,15,28,10,105,33,5.83,0,0,9
1760,LS Rajput (INDIA),1985-1985,2,4,0,105,61,26.25,0,1,1
1761,GHT Simpson-Hayward (ENG),1910-1910,5,8,1,105,29*,15.00,0,0,1
1762,CJ Adams (ENG),1999-2000,5,8,0,104,31,13.00,0,0,0
1763,PVD Chameera (SL),2015-2021,12,21,2,104,22,5.47,0,0,5
1764,GFJ Liebenberg (SA),1998-1998,5,8,0,104,45,13.00,0,0,2
1765,KR Rickards (WI),1948-1952,2,3,0,104,67,34.66,0,1,0
1766,PR Stirling (IRE),2018-2019,3,6,0,104,36,17.33,0,0,1
1767,M Bisset (SA),1899-1910,3,6,2,103,35,25.75,0,0,0
1768,JW Hitch (ENG),1911-1921,7,10,3,103,51*,14.71,0,1,1
1769,SB O'Connor (NZ),1997-2001,19,27,9,103,20,5.72,0,0,4
1770,AG Hurst (AUS),1974-1979,12,20,3,102,26,6.00,0,0,10
1771,R Lamba (INDIA),1986-1987,4,5,0,102,53,20.40,0,1,1
1772,B Muzarabani (ZIM),2017-2021,6,11,4,102,30*,14.57,0,0,1
1773,RM Prideaux (ENG),1968-1969,3,6,1,102,64,20.40,0,1,0
1774,PM Pushpakumara (SL),2017-2018,4,8,2,102,42*,17.00,0,0,0
1775,CIJ Smith (ENG),1935-1937,5,10,0,102,27,10.20,0,0,2
1776,Aaqib Javed (PAK),1989-1998,22,27,7,101,28*,5.05,0,0,8
1777,DD Beard (NZ),1952-1956,4,7,2,101,31,20.20,0,0,0
1778,G Challenor (WI),1928-1928,3,6,0,101,46,16.83,0,0,2
1779,SK Coen (SA),1927-1928,2,4,2,101,41*,50.50,0,0,0
1780,CS Cowdrey (ENG),1984-1988,6,8,1,101,38,14.42,0,0,1
1781,A Hill (ENG),1877-1877,2,4,2,101,49,50.50,0,0,1
1782,KA Hope (WI),2017-2017,5,9,0,101,43,11.22,0,0,2
1783,M Shumba (ZIM),2021-2021,3,6,0,101,41,16.83,0,0,0
1784,TA Harris (SA),1947-1949,3,5,1,100,60,25.00,0,1,0
1785,Khan Mohammad (PAK),1952-1958,13,17,7,100,26*,10.00,0,0,3
1786,RTM Mendis (SL),2021-2021,4,7,0,100,33,14.28,0,0,1
1787,RD Robinson (AUS),1977-1977,3,6,0,100,34,16.66,0,0,0
1788,HA Furlonge (WI),1955-1956,3,5,0,99,64,19.80,0,1,1
1789,Maninder Singh (INDIA),1982-1993,35,38,12,99,15,3.80,0,0,11
1790,MN Nawaz (SL),2002-2002,1,2,1,99,78*,99.00,0,1,0
1791,N Oldfield (ENG),1939-1939,1,2,0,99,80,49.50,0,1,0
1792,Robiul Islam (BAN),2010-2014,9,17,6,99,33,9.00,0,0,6
1793,Shafiq Ahmed (PAK),1974-1981,6,10,1,99,27*,11.00,0,0,3
1794,Shahriar Hossain (BAN),2000-2004,3,5,0,99,48,19.80,0,0,0
1795,Umar Amin (PAK),2010-2010,4,8,0,99,33,12.37,0,0,1
1796,TD Astle (NZ),2012-2020,5,6,1,98,35,19.60,0,0,1
1797,RK Chauhan (INDIA),1993-1998,21,17,3,98,23,7.00,0,0,1
1798,CM Christiani (WI),1935-1935,4,7,2,98,32*,19.60,0,0,1
1799,WM Clark (AUS),1977-1979,10,19,2,98,33,5.76,0,0,8
1800,AC Cummins (WI),1993-1994,5,6,1,98,50,19.60,0,1,1
1801,ELG Hoad (WI),1928-1933,4,8,0,98,36,12.25,0,0,1
1802,S Muthusamy (SA),2019-2019,2,4,2,98,49*,49.00,0,0,0
1803,IAR Peebles (ENG),1927-1931,13,17,8,98,26,10.88,0,0,3
1804,Aftab Baloch (PAK),1969-1975,2,3,1,97,60*,48.50,0,1,0
1805,Hasibul Hossain (BAN),2000-2001,5,10,1,97,31,10.77,0,0,2
1806,AR Kapoor (INDIA),1994-1996,4,6,1,97,42,19.40,0,0,0
1807,GAE Paine (ENG),1935-1935,4,7,1,97,49,16.16,0,0,1
1808,CP Senanayake (SL),1991-1991,3,5,0,97,64,19.40,0,1,1
1809,LF Townsend (ENG),1930-1934,4,6,0,97,40,16.16,0,0,0
1810,GD Varnals (SA),1964-1965,3,6,0,97,23,16.16,0,0,0
1811,GD Watson (AUS),1966-1972,5,9,0,97,50,10.77,0,1,3
1812,IDR Bradshaw (WI),2006-2006,5,8,1,96,33,13.71,0,0,1
1813,R Clarke (ENG),2003-2003,2,3,0,96,55,32.00,0,1,0
1814,DV Dyer (SA),1947-1947,3,6,0,96,62,16.00,0,1,0
1815,PE McEwan (NZ),1980-1984,4,7,1,96,40*,16.00,0,0,1
1816,G MacGregor (ENG),1890-1893,8,11,3,96,31,12.00,0,0,1
1817,KMA Paul (WI),2018-2019,3,6,0,96,47,16.00,0,0,1
1818,WV Rodriguez (WI),1962-1968,5,7,0,96,50,13.71,0,1,1
1819,VH Stollmeyer (WI),1939-1939,1,1,0,96,96,96.00,0,1,0
1820,B Warnapura (SL),1982-1982,4,8,0,96,38,12.00,0,0,1
1821,KJ Abbott (SA),2013-2017,11,14,0,95,17,6.78,0,0,4
1822,HDG Leveson Gower (ENG),1910-1910,3,6,2,95,31,23.75,0,0,0
1823,RP Snell (SA),1992-1994,5,8,1,95,48,13.57,0,0,1
1824,HK Badani (INDIA),2001-2001,4,7,1,94,38,15.66,0,0,0
