,Player,T20_Span,T20_Matches,T20_Innings,T20_OVERS,T20_MAIDENS,T20_RUNS_given,T20_WICKETS,T20_BESTFIGURE,T20_BOWL_AVERAGE,T20_ECONOMY,T20_SR,T20_4_WKTS,T20_5_WKTS
1215,AP Devcich (NZ),2013-2014,4,4,12.0,0,80,2,2/16,40.00,6.66,36.0,0,0
1216,LHD Dilhara (SL),2008-2008,2,2,5.0,0,30,2,2/6,15.00,6.00,15.0,0,0
1217,N Dipakkumar Patel (PNM),2019-2019,3,3,10.0,0,42,2,2/17,21.00,4.20,30.0,0,0
1218,MR Dorgan (SRB),2021-2021,3,2,5.0,0,79,2,1/13,39.50,15.80,15.0,0,0
1219,K Dorji (BHU),2019-2019,2,2,7.0,0,69,2,2/45,34.50,9.85,21.0,0,0
1220,Ehsan Nawaz (HKG),2014-2017,5,5,7.4,0,79,2,1/22,39.50,10.30,23.0,0,0
1221,AM Ellis (NZ),2012-2013,5,4,10.0,0,105,2,2/40,52.50,10.50,30.0,0,0
1222,Fakhrul Mohon (PORT),2019-2019,4,4,14.0,2,85,2,1/21,42.50,6.07,42.0,0,0
1223,Festus Benn (Bhm),2022-2022,5,4,9.0,0,108,2,2/38,54.00,12.00,27.0,0,0
1224,R Fox (Bhm),2022-2022,4,3,8.2,0,82,2,1/31,41.00,9.84,25.0,0,0
1225,MD Garratt (GIBR),2019-2021,8,3,7.5,0,63,2,1/12,31.50,8.04,23.5,0,0
1226,B Geeves (AUS),2009-2009,1,1,3.2,0,35,2,2/35,17.50,10.50,10.0,0,0
1227,D Gim (NGA),2019-2021,17,4,6.0,0,65,2,1/18,32.50,10.83,18.0,0,0
1228,MS Graham (Bhm),2021-2021,6,6,17.0,0,118,2,1/16,59.00,6.94,51.0,0,0
1229,C Green (AUS),2022-2022,1,1,3.0,0,16,2,2/16,8.00,5.33,9.0,0,0
1230,L Gregory (ENG),2019-2021,9,5,13.0,0,117,2,1/10,58.50,9.00,39.0,0,0
1231,Gurdeep Singh (KENYA),2021-2021,10,3,6.0,0,57,2,2/16,28.50,9.50,18.0,0,0
1232,Hafez Farooq (Peru),2019-2019,4,1,2.0,0,14,2,2/14,7.00,7.00,6.0,0,0
1233,NM Hauritz (AUS),2009-2009,3,2,7.2,0,47,2,1/20,23.50,6.40,22.0,0,0
1234,PA Hitchcock (NZ),2008-2008,1,1,3.0,0,43,2,2/43,21.50,14.33,9.0,0,0
1235,KC Hodsoll (BMUDA),2008-2021,4,4,9.0,0,59,2,2/19,29.50,6.55,27.0,0,0
1236,EH Hutchinson (USA),2019-2021,4,3,8.0,1,31,2,2/7,15.50,3.87,24.0,0,0
1237,Imran Ashraf (QAT),2019-2020,4,4,11.0,0,113,2,2/23,56.50,10.27,33.0,0,0
1238,Imran Khan (1) (PAK),2015-2015,3,3,12.0,0,106,2,2/35,53.00,8.83,36.0,0,0
1239,Imran Khan (PORT),2019-2021,8,5,13.0,0,83,2,1/13,41.50,6.38,39.0,0,0
1240,MM Iqbal (SCOT),2012-2013,6,3,8.0,0,59,2,2/15,29.50,7.37,24.0,0,0
1241,J Jojo (DEN),2019-2019,7,5,17.0,0,98,2,2/25,49.00,5.76,51.0,0,0
1242,Jubair Hossain (BAN),2015-2015,1,1,2.0,0,20,2,2/20,10.00,10.00,6.0,0,0
1243,Junaid Sheikh (NOR),2019-2019,5,5,16.0,1,104,2,1/21,52.00,6.50,48.0,0,0
1244,M Kadyan (BUL),2021-2021,2,2,5.0,0,48,2,2/34,24.00,9.60,15.0,0,0
1245,D Kalvin (SEY),2021-2021,6,3,9.0,0,76,2,2/19,38.00,8.44,27.0,0,0
1246,AB Kamara (SLE),2021-2021,9,4,7.0,0,43,2,2/12,21.50,6.14,21.0,0,0
1247,Kamran Shazad (UAE),2014-2014,3,3,8.4,0,77,2,2/19,38.50,8.88,26.0,0,0
1248,G Kansonkho (MWI),2019-2021,11,3,5.0,0,41,2,2/18,20.50,8.20,15.0,0,0
1249,D Kegasitswe (BOT),2019-2019,4,3,12.0,0,156,2,1/43,78.00,13.00,36.0,0,0
1250,B Khumalo (BOT),2019-2021,4,4,12.5,0,109,2,1/13,54.50,8.49,38.5,0,0
1251,AK Kitchen (NZ),2017-2018,5,3,6.0,0,46,2,1/3,23.00,7.66,18.0,0,0
1252,IGTR Kumara (Mald),2020-2020,3,2,5.0,0,45,2,2/32,22.50,9.00,15.0,0,0
1253,B Laughlin (AUS),2009-2013,3,3,11.5,0,118,2,1/32,59.00,9.97,35.5,0,0
1254,M Leporoporo (LES),2021-2021,4,3,6.0,0,64,2,1/8,32.00,10.66,18.0,0,0
1255,DB Loic (CAM),2021-2021,4,3,11.1,0,86,2,2/30,43.00,7.70,33.5,0,0
1256,KS Lokuarachchi (SL),2012-2012,2,2,6.0,0,48,2,2/31,24.00,8.00,18.0,0,0
1257,J Louw (SA),2008-2009,2,2,7.0,0,54,2,2/36,27.00,7.71,21.0,0,0
1258,AJ McKay (NZ),2010-2010,2,2,5.4,0,31,2,2/20,15.50,5.47,17.0,0,0
1259,DSK Madushanka (SL),2018-2018,2,2,5.1,0,62,2,2/23,31.00,12.00,15.5,0,0
1260,R Mahajan (PHI),2019-2019,3,3,10.0,0,93,2,1/18,46.50,9.30,30.0,0,0
1261,GI Maiden (SCOT),2008-2008,3,3,10.0,0,58,2,1/20,29.00,5.80,30.0,0,0
1262,D Manani (ROM),2019-2021,3,3,7.0,0,52,2,2/25,26.00,7.42,21.0,0,0
1263,P Manning (Caym),2019-2019,6,4,8.0,0,53,2,2/3,26.50,6.62,24.0,0,0
1264,DE Martel (GUE),2022-2022,4,4,12.2,0,67,2,1/8,33.50,5.43,37.0,0,0
1265,H Masakadza (ZIM),2006-2019,66,9,12.0,0,113,2,1/4,56.50,9.41,36.0,0,0
1266,P Masih (ROM),2020-2020,3,3,9.0,0,49,2,2/18,24.50,5.44,27.0,0,0
1267,MJ Mason (NZ),2006-2008,3,3,9.0,0,65,2,1/18,32.50,7.22,27.0,0,0
1268,MV Matsau (LES),2021-2021,5,4,8.2,0,78,2,2/18,39.00,9.36,25.0,0,0
1269,B Mavuta (ZIM),2018-2021,5,5,17.0,0,136,2,1/19,68.00,8.00,51.0,0,0
1270,Z McLaughlin (Caym),2019-2019,3,3,7.1,0,54,2,2/30,27.00,7.53,21.5,0,0
1271,SC Meaker (ENG),2012-2012,2,2,7.5,0,70,2,1/28,35.00,8.93,23.5,0,0
1272,AS Mehmi (GRC),2019-2021,7,4,5.0,0,54,2,1/9,27.00,10.80,15.0,0,0
1273,Mohammad Adnan (Saudi),2019-2019,5,5,17.0,0,120,2,1/27,60.00,7.05,51.0,0,0
1274,SA Mohandas (HUN),2021-2021,3,3,9.0,0,68,2,1/18,34.00,7.55,27.0,0,0
1275,Mohsin Hub (Peru),2019-2019,4,3,9.0,0,39,2,1/14,19.50,4.33,27.0,0,0
1276,Muhammad Amir (MAL),2019-2022,5,3,8.0,0,88,2,1/21,44.00,11.00,24.0,0,0
1277,Muhammad Rafique (BHR),2019-2019,2,2,5.0,0,63,2,1/31,31.50,12.60,15.0,0,0
1278,S Murari (CRC),2019-2019,3,3,10.0,0,52,2,1/10,26.00,5.20,30.0,0,0
1279,A Nao (PNG),2017-2022,3,3,9.0,0,88,2,2/39,44.00,9.77,27.0,0,0
1280,M Nasim Baras (AFG),2015-2015,3,3,8.0,0,56,2,1/11,28.00,7.00,24.0,0,0
1281,Naveed Shahid (Fin),2021-2021,4,4,11.0,0,95,2,1/27,47.50,8.63,33.0,0,0
1282,Nawaf Ahmed (KUW),2019-2021,5,5,10.0,0,72,2,2/14,36.00,7.20,30.0,0,0
1283,A Nel (SA),2005-2007,2,2,8.0,0,42,2,2/19,21.00,5.25,24.0,0,0
1284,L Nussbaumer (GUE),2019-2019,1,1,4.0,0,44,2,2/44,22.00,11.00,12.0,0,0
1285,MMR Obili (EST),2021-2021,6,6,17.0,0,127,2,1/10,63.50,7.47,51.0,0,0
1286,S Ogundipe (NGA),2021-2021,4,4,10.0,0,45,2,1/9,22.50,4.50,30.0,0,0
1287,RJG Palmer (JER),2019-2021,4,4,9.0,0,53,2,1/10,26.50,5.88,27.0,0,0
1288,MS Panesar (ENG),2007-2007,1,1,4.0,0,40,2,2/40,20.00,10.00,12.0,0,0
1289,NMS Param (SGP),2019-2019,8,3,8.0,0,55,2,2/24,27.50,6.87,24.0,0,0
1290,HH Patel (MWI),2019-2019,7,5,13.0,0,104,2,2/13,52.00,8.00,39.0,0,0
1291,H Patel (CAN),2010-2021,15,6,11.5,0,97,2,2/23,48.50,8.19,35.5,0,0
1292,RN Patel (KENYA),2019-2021,15,1,2.0,0,7,2,2/7,3.50,3.50,6.0,0,0
1293,GD Phillips (NZ),2017-2021,35,5,8.3,0,68,2,1/11,34.00,8.00,25.5,0,0
1294,DBL Powell (WI),2007-2007,5,5,17.0,0,131,2,1/6,65.50,7.70,51.0,0,0
1295,S Rakshit (CZK-R),2019-2019,6,5,12.5,0,99,2,1/11,49.50,7.71,38.5,0,0
1296,S Ravikumar (CRC),2019-2019,3,3,6.2,0,56,2,1/12,28.00,8.84,19.0,0,0
1297,Raza-ur-Rehman (CAN),2012-2013,5,3,9.0,0,58,2,2/16,29.00,6.44,27.0,0,0
1298,Razmal Shigiwal (Aut),2019-2021,12,3,8.0,0,54,2,2/28,27.00,6.75,24.0,0,0
1299,AJ Redmond (NZ),2009-2010,7,1,2.5,0,24,2,2/24,12.00,8.47,8.5,0,0
1300,S Rengarajan (CZK-R),2020-2020,3,2,5.0,0,50,2,1/21,25.00,10.00,15.0,0,0
1301,GA Rogers (SCOT),2008-2009,2,2,7.5,0,67,2,2/15,33.50,8.55,23.5,0,0
1302,IH Romaine (BMUDA),2008-2008,2,2,3.4,0,21,2,2/2,10.50,5.72,11.0,0,0
1303,SI Runsewe (NGA),2019-2021,10,2,2.3,0,23,2,1/4,11.50,9.20,7.5,0,0
1304,JD Ryder (NZ),2008-2014,22,5,10.0,0,68,2,1/2,34.00,6.80,30.0,0,0
1305,Sadeeq Khan (ROM),2019-2019,3,3,12.0,0,63,2,1/21,31.50,5.25,36.0,0,0
1306,TK Saha (Fin),2019-2019,4,4,10.0,0,88,2,1/22,44.00,8.80,30.0,0,0
1307,Sandeep Goud (OMA),2019-2022,22,4,8.0,0,76,2,2/36,38.00,9.50,24.0,0,0
1308,Saqib Zulfiqar (NED),2018-2019,6,4,9.0,0,61,2,1/4,30.50,6.77,27.0,0,0
1309,P Sarraf (NEPAL),2019-2020,12,7,13.0,1,75,2,1/3,37.50,5.76,39.0,0,0
1310,RR Sarwan (WI),2007-2010,18,1,2.0,0,10,2,2/10,5.00,5.00,6.0,0,0
1311,Shaffeq Muhammad (GRC),2019-2019,2,2,7.0,1,21,2,2/12,10.50,3.00,21.0,0,0
1312,Shahid Mahmood (BHR),2022-2022,3,3,10.0,0,98,2,1/20,49.00,9.80,30.0,0,0
1313,Shahnawaz Dahani (PAK),2021-2021,2,2,7.0,0,47,2,1/23,23.50,6.71,21.0,0,0
1314,Sharif Asadullah (UAE),2014-2014,1,1,3.0,0,21,2,2/21,10.50,7.00,9.0,0,0
1315,Shuvagata Hom (BAN),2016-2016,5,4,11.0,0,71,2,1/18,35.50,6.45,33.0,0,0
1316,EHSN Silva (UAE),2014-2014,2,2,7.0,0,58,2,1/20,29.00,8.28,21.0,0,0
1317,AL Stephen (VAN),2019-2019,2,2,7.0,0,29,2,2/15,14.50,4.14,21.0,0,0
1318,TJ Stephenson (Blz),2019-2021,4,4,7.0,0,51,2,2/12,25.50,7.28,21.0,0,0
1319,Sufyan Mehmood (OMA),2015-2020,4,4,8.3,0,59,2,1/20,29.50,6.94,25.5,0,0
1320,MB Tambe (Fin),2021-2021,4,4,13.0,0,108,2,1/28,54.00,8.30,39.0,0,0
1321,R Telemachus (SA),2006-2007,3,3,12.0,0,90,2,1/22,45.00,7.50,36.0,0,0
1322,S Thuraisingam (CAN),2008-2008,3,3,7.5,0,44,2,1/13,22.00,5.61,23.5,0,0
1323,CT Tremlett (ENG),2007-2007,1,1,4.0,0,45,2,2/45,22.50,11.25,12.0,0,0
1324,T Tshose (BOT),2019-2021,5,3,8.0,0,51,2,1/16,25.50,6.37,24.0,0,0
1325,T Turan (TKY),2019-2019,4,3,8.1,0,111,2,1/32,55.50,13.59,24.5,0,0
1326,VL Mukesh (SEY),2021-2021,5,5,12.0,0,108,2,2/44,54.00,9.00,36.0,0,0
1327,VM Vaghela (USA),2021-2021,1,1,3.0,0,16,2,2/16,8.00,5.33,9.0,0,0
1328,CV Varun (INDIA),2021-2021,6,6,22.3,0,132,2,1/18,66.00,5.86,67.5,0,0
1329,JK Vifah (Ghana),2019-2021,14,3,6.1,0,48,2,1/9,24.00,7.78,18.5,0,0
1330,Arjun Vinod (SUI),2021-2021,4,4,7.0,1,52,2,1/12,26.00,7.42,21.0,0,0
1331,AC Voges (AUS),2007-2013,7,1,2.0,0,5,2,2/5,2.50,2.50,6.0,0,0
1332,Walid Ghauri (NOR),2019-2022,7,3,6.5,0,49,2,1/16,24.50,7.17,20.5,0,0
1333,Waqas Maqsood (PAK),2018-2018,1,1,1.5,0,21,2,2/21,10.50,11.45,5.5,0,0
1334,SR Welsh (CAN),2008-2008,1,1,3.0,0,6,2,2/6,3.00,2.00,9.0,0,0
1335,AR White (IRE),2008-2012,18,1,4.0,0,18,2,2/18,9.00,4.50,12.0,0,0
1336,G Wijekoon (SL),2007-2007,3,3,11.0,0,101,2,1/12,50.50,9.18,33.0,0,0
1337,Yasir Mohammad (USA),2021-2021,2,2,8.0,0,67,2,2/32,33.50,8.37,24.0,0,0
1338,Yusuf Ebrahim (PNM),2019-2021,9,8,16.0,1,130,2,1/13,65.00,8.12,48.0,0,0
1339,Zahid Abbas (KENYA),2021-2021,4,3,7.0,0,46,2,1/14,23.00,6.57,21.0,0,0
1340,Zain ul Tashnam (CRC),2019-2019,3,2,8.0,1,35,2,1/16,17.50,4.37,24.0,0,0
1341,S Zargar (Mex),2019-2019,1,1,3.0,0,22,2,2/22,11.00,7.33,9.0,0,0
1342,Zawar Farid (UAE),2019-2022,9,3,6.1,0,53,2,1/18,26.50,8.59,18.5,0,0
1343,Ziaur Rahman (AFG),2019-2019,1,1,4.0,0,42,2,2/42,21.00,10.50,12.0,0,0
1344,N Zimonjic (SRB),2021-2021,3,2,3.4,0,62,2,2/44,31.00,16.90,11.0,0,0
1345,T Zotos (GRC),2021-2021,4,1,3.0,0,14,2,2/14,7.00,4.66,9.0,0,0
1346,JB Abega (CAM),2021-2021,4,4,13.5,0,141,1,1/33,141.00,10.19,83.0,0,0
1347,Absar Khan (DEN),2021-2021,2,1,1.0,0,8,1,1/8,8.00,8.00,6.0,0,0
1348,N Advani (GIBR),2019-2019,1,1,3.0,0,12,1,1/12,12.00,4.00,18.0,0,0
1349,Aftab Ahmed (2) (DEN),2019-2021,4,3,5.0,0,41,1,1/10,41.00,8.20,30.0,0,0
1350,R Agamiire (UGA),2021-2021,2,2,6.0,1,9,1,1/1,9.00,1.50,36.0,0,0
1351,N Ahir (PNM),2021-2021,5,5,13.0,0,123,1,1/22,123.00,9.46,78.0,0,0
1352,Ahsan Khan (BUL),2021-2021,4,4,12.0,0,136,1,1/42,136.00,11.33,72.0,0,0
1353,GW Aldridge (NZ),2011-2011,1,1,4.0,0,45,1,1/45,45.00,11.25,24.0,0,0
1354,J Allen (),2019-2019,2,2,2.0,0,19,1,1/7,19.00,9.50,12.0,0,0
1355,TP Allen (USA),2019-2019,5,2,3.0,0,28,1,1/11,28.00,9.33,18.0,0,0
1356,Amandeep Singh (PORT),2021-2021,4,3,7.0,0,50,1,1/18,50.00,7.14,42.0,0,0
1357,Amir Ali (OMA),2015-2016,10,5,9.0,0,67,1,1/6,67.00,7.44,54.0,0,0
1358,Amir Mangal (GER),2019-2020,10,5,6.4,0,57,1,1/17,57.00,8.55,40.0,0,0
1359,S Aravind (INDIA),2015-2015,1,1,3.4,0,44,1,1/44,44.00,12.00,22.0,0,0
1360,Ariful Haque (BAN),2018-2018,9,1,1.0,0,13,1,1/13,13.00,13.00,6.0,0,0
1361,Arshad Iqbal (PAK),2021-2021,1,1,4.0,0,16,1,1/16,16.00,4.00,24.0,0,0
1362,Asghar Afghan (AFG),2010-2021,75,1,0.4,0,4,1,1/4,4.00,6.00,4.0,0,0
1363,Imran Asif (Aut),2021-2021,3,2,4.0,0,53,1,1/23,53.00,13.25,24.0,0,0
1364,G Axtell (BHR),2022-2022,2,2,7.0,0,42,1,1/17,42.00,6.00,42.0,0,0
1365,Ayaan Khan (OMA),2021-2022,7,4,10.0,0,63,1,1/29,63.00,6.30,60.0,0,0
1366,C Bah (SLE),2021-2021,2,2,5.0,0,26,1,1/13,26.00,5.20,30.0,0,0
1367,AA Banner (Blz),2019-2021,9,3,10.0,0,56,1,1/18,56.00,5.60,60.0,0,0
1368,CD Barnwell (WI),2011-2013,6,4,6.0,0,51,1,1/24,51.00,8.50,36.0,0,0
1369,Basil George (MLT),2021-2021,9,6,13.3,0,128,1,1/18,128.00,9.48,81.0,0,0
1370,A Bhattarai (NEPAL),2014-2014,1,1,3.0,0,12,1,1/12,12.00,4.00,18.0,0,0
1371,SR Bhudia (KENYA),2019-2019,4,4,9.0,0,63,1,1/6,63.00,7.00,54.0,0,0
1372,K Bhurtel (NEPAL),2021-2022,16,1,1.0,0,1,1,1/1,1.00,1.00,6.0,0,0
1373,Bilal Aftab (DEN),2021-2021,3,1,2.0,0,13,1,1/13,13.00,6.50,12.0,0,0
1374,STR Binny (INDIA),2015-2016,3,3,5.0,0,54,1,1/14,54.00,10.80,30.0,0,0
1375,CC Blake (VAN),2019-2019,3,3,8.0,0,49,1,1/15,49.00,6.12,48.0,0,0
1376,N Boje (SA),2005-2005,1,1,4.0,0,27,1,1/27,27.00,6.75,24.0,0,0
1377,SG Borthwick (ENG),2011-2011,1,1,4.0,0,15,1,1/15,15.00,3.75,24.0,0,0
1378,DL Brangman (BMUDA),2019-2019,5,5,7.0,0,84,1,1/19,84.00,12.00,42.0,0,0
1379,DE Budge (SCOT),2018-2021,8,1,1.0,0,18,1,1/18,18.00,18.00,6.0,0,0
1380,CL Cairns (NZ),2005-2006,2,2,8.0,0,52,1,1/28,52.00,6.50,48.0,0,0
1381,A Carthew (Chile),2019-2019,4,1,2.0,0,19,1,1/19,19.00,9.50,12.0,0,0
1382,CPPM Sadun (CYP),2021-2021,6,2,3.0,0,19,1,1/5,19.00,6.33,18.0,0,0
1383,Charanjeet Singh (ITA),2019-2019,3,2,5.0,0,35,1,1/18,35.00,7.00,30.0,0,0
1384,G Chohan (PHI),2022-2022,5,3,8.0,0,108,1,1/46,108.00,13.50,48.0,0,0
1385,MS Crane (ENG),2017-2017,2,2,8.0,0,62,1,1/38,62.00,7.75,48.0,0,0
1386,T Cross (EST),2021-2021,2,2,5.0,0,44,1,1/35,44.00,8.80,30.0,0,0
1387,R Cunningham (GIBR),2021-2021,4,1,2.0,0,16,1,1/16,16.00,8.00,12.0,0,0
1388,H Dajc (SRB),2019-2019,2,1,4.0,0,36,1,1/36,36.00,9.00,24.0,0,0
1389,H Davids (SA),2012-2013,9,2,2.0,0,13,1,1/6,13.00,6.50,12.0,0,0
1390,CJ Delany (GIBR),2019-2021,13,4,8.2,0,95,1,1/37,95.00,11.40,50.0,0,0
1391,JL de Mey (NED),2021-2021,3,2,7.0,0,67,1,1/35,67.00,9.57,42.0,0,0
1392,PA Desai (CAN),2012-2012,1,1,3.0,0,30,1,1/30,30.00,10.00,18.0,0,0
1393,S Desungnoen (THAI),2020-2020,2,2,5.0,0,42,1,1/30,42.00,8.40,30.0,0,0
1394,S Dhakal (NEPAL),2022-2022,2,2,6.0,0,55,1,1/19,55.00,9.16,36.0,0,0
1395,R Dhawan (INDIA),2016-2016,1,1,4.0,0,42,1,1/42,42.00,10.50,24.0,0,0
1396,A Djorovic (SRB),2019-2021,6,6,15.3,1,136,1,1/31,136.00,8.77,93.0,0,0
1397,KR Ebanks (Caym),2019-2019,5,5,11.0,0,104,1,1/25,104.00,9.45,66.0,0,0
1398,M Faraz Akram (ZIM),2020-2021,2,2,6.2,0,58,1,1/46,58.00,9.15,38.0,0,0
1399,Fayyaz Ahmed (UAE),2015-2015,1,1,3.0,0,29,1,1/29,29.00,9.66,18.0,0,0
1400,Fiaz Ahmad (KUW),2019-2019,3,3,5.0,0,56,1,1/13,56.00,11.20,30.0,0,0
1401,KK Flowers (Blz),2019-2019,3,1,2.0,0,16,1,1/16,16.00,8.00,12.0,0,0
1402,C Floyd (NED),2019-2019,2,2,5.0,0,51,1,1/14,51.00,10.20,30.0,0,0
1403,C Fry (LUX),2019-2019,3,3,7.0,1,62,1,1/3,62.00,8.85,42.0,0,0
1404,GHS Garton (ENG),2022-2022,1,1,4.0,0,57,1,1/57,57.00,14.25,24.0,0,0
1405,L Gherasim (ROM),2019-2020,3,1,1.5,0,12,1,1/12,12.00,6.54,11.0,0,0
1406,M Gherasim (ROM),2020-2020,2,1,3.0,0,22,1,1/22,22.00,7.33,18.0,0,0
1407,JN Gillespie (AUS),2005-2005,1,1,4.0,0,49,1,1/49,49.00,12.25,24.0,0,0
1408,K Govind (SEY),2021-2021,1,1,3.0,0,25,1,1/25,25.00,8.33,18.0,0,0
1409,NA Greenwood (JER),2019-2019,8,2,2.0,0,14,1,1/4,14.00,7.00,12.0,0,0
1410,Gulsan Jha (NEPAL),2022-2022,1,1,3.0,0,16,1,1/16,16.00,5.33,18.0,0,0
1411,OJ Hairs (SCOT),2019-2021,12,1,2.0,0,19,1,1/19,19.00,9.50,12.0,0,0
1412,Hardev Singh (Chile),2019-2019,3,1,1.0,0,12,1,1/12,12.00,12.00,6.0,0,0
1413,SJ Harmison (ENG),2005-2006,2,2,6.3,0,42,1,1/13,42.00,6.46,39.0,0,0
1414,Haroon Mughal (MLT),2019-2021,15,2,3.0,0,31,1,1/17,31.00,10.33,18.0,0,0
1415,RJ Hatchman (GIBR),2019-2021,5,5,11.0,0,118,1,1/29,118.00,10.72,66.0,0,0
1416,TM Head (AUS),2016-2022,17,4,6.0,0,56,1,1/16,56.00,9.33,36.0,0,0
1417,P Heron (Caym),2022-2022,5,1,1.0,0,8,1,1/8,8.00,8.00,6.0,0,0
1418,BJ Hodge (AUS),2007-2014,15,3,5.0,0,43,1,1/13,43.00,8.60,30.0,0,0
1419,S Hongsi (THAI),2019-2019,3,2,3.0,0,35,1,1/15,35.00,11.66,18.0,0,0
1420,GM Hyde (Blz),2019-2019,3,2,5.0,0,43,1,1/14,43.00,8.60,30.0,0,0
1421,Ibrahim Jabarkhel (Fran),2021-2021,2,2,4.0,0,33,1,1/17,33.00,8.25,24.0,0,0
1422,Ibrahim Nashath (Mald),2019-2021,7,5,11.0,0,103,1,1/13,103.00,9.36,66.0,0,0
1423,Iftikhar Ahmed (PAK),2016-2022,18,7,12.2,0,99,1,1/7,99.00,8.02,74.0,0,0
1424,Iftikhar Anjum (PAK),2007-2009,2,2,8.0,0,67,1,1/34,67.00,8.37,48.0,0,0
1425,AJ Ireland (ZIM),2006-2006,1,1,3.0,0,33,1,1/33,33.00,11.00,18.0,0,0
1426,Irfan Mir (Chile),2019-2019,4,4,15.0,0,73,1,1/26,73.00,4.86,90.0,0,0
1427,E Isaneez (UGA),2019-2019,3,3,9.2,0,53,1,1/16,53.00,5.67,56.0,0,0
1428,O Isesele (NGA),2021-2021,5,4,10.0,0,104,1,1/44,104.00,10.40,60.0,0,0
1429,Ismat Ullah (),2019-2019,4,2,4.0,0,16,1,1/9,16.00,4.00,24.0,0,0
1430,P Jayawickrama (SL),2021-2022,4,4,9.1,0,75,1,1/29,75.00,8.18,55.0,0,0
1431,D Johnson (Caym),2022-2022,3,3,7.0,0,47,1,1/21,47.00,6.71,42.0,0,0
1432,B Karki (NEPAL),2020-2020,1,1,4.0,1,6,1,1/6,6.00,1.50,24.0,0,0
1433,A Karn (NEPAL),2015-2015,2,2,8.0,0,49,1,1/31,49.00,6.12,48.0,0,0
1434,N Khanna (MLT),2019-2021,14,2,4.0,0,47,1,1/26,47.00,11.75,24.0,0,0
1435,Khurram Chohan (CAN),2010-2010,4,4,12.1,0,106,1,1/24,106.00,8.71,73.0,0,0
1436,Khurram Khan (UAE),2014-2014,3,1,1.0,0,8,1,1/8,8.00,8.00,6.0,0,0
1437,JH Kiani (PHI),2019-2019,4,1,4.0,0,26,1,1/26,26.00,6.50,24.0,0,0
1438,S Kushretha (LUX),2020-2020,4,4,14.0,0,102,1,1/27,102.00,7.28,84.0,0,0
1439,DO Leicher (NAM),2022-2022,2,2,5.0,0,45,1,1/18,45.00,9.00,30.0,0,0
1440,CA Liyanage (Mald),2019-2020,3,2,5.0,0,47,1,1/33,47.00,9.40,30.0,0,0
1441,J Long (PHI),2019-2019,2,1,2.0,0,26,1,1/26,26.00,13.00,12.0,0,0
1442,NM Lyon (AUS),2016-2018,2,2,5.0,0,48,1,1/33,48.00,9.60,30.0,0,0
1443,RT Lyons (SCOT),2010-2010,2,2,6.0,0,40,1,1/26,40.00,6.66,36.0,0,0
1444,SKDT Madusanka (SEY),2021-2021,6,4,6.0,0,58,1,1/20,58.00,9.66,36.0,0,0
1445,Mahmad Data (PNM),2019-2019,2,2,5.0,0,31,1,1/15,31.00,6.20,30.0,0,0
1446,A Makesh (KUW),2019-2019,4,4,9.0,1,79,1,1/19,79.00,8.77,54.0,0,0
1447,DJ Malan (ENG),2017-2021,36,1,2.0,0,27,1,1/27,27.00,13.50,12.0,0,0
1448,WJ Malinda (Mald),2019-2021,6,2,5.0,0,39,1,1/27,39.00,7.80,30.0,0,0
1449,Mamoon Latif (Belg),2019-2021,11,1,1.0,0,14,1,1/14,14.00,14.00,6.0,0,0
1450,OM Marshall (Peru),2019-2019,3,2,3.0,0,22,1,1/10,22.00,7.33,18.0,0,0
1451,A Martin (WI),2011-2011,1,1,3.0,0,20,1,1/20,20.00,6.66,18.0,0,0
1452,T Maruma (ZIM),2008-2019,13,2,3.0,0,20,1,1/8,20.00,6.66,18.0,0,0
1453,WT Mashinge (ZIM),2019-2019,2,2,5.0,0,57,1,1/37,57.00,11.40,30.0,0,0
1454,N Master (BOT),2019-2019,2,1,4.0,0,30,1,1/30,30.00,7.50,24.0,0,0
1455,Md Shafiqul Haque (THAI),2019-2019,4,1,3.0,0,25,1,1/25,25.00,8.33,18.0,0,0
1456,RTM Mendis (SL),2021-2021,2,2,4.0,0,22,1,1/13,22.00,5.50,24.0,0,0
1457,AB Mengoumou (CAM),2021-2021,1,1,4.0,0,57,1,1/57,57.00,14.25,24.0,0,0
1458,DP Michael (Samoa),2019-2019,4,1,3.0,0,32,1,1/32,32.00,10.66,18.0,0,0
1459,SF Mire (ZIM),2018-2019,9,5,12.0,0,115,1,1/15,115.00,9.58,72.0,0,0
1460,J Miyaji (UGA),2022-2022,1,1,3.0,0,21,1,1/21,21.00,7.00,18.0,0,0
1461,Mobashar Ashraf (Fran),2021-2021,2,2,4.0,0,24,1,1/17,24.00,6.00,24.0,0,0
1462,D Mogan (MAL),2020-2021,3,3,12.0,0,116,1,1/31,116.00,9.66,72.0,0,0
1463,Mohammad Amin (KUW),2019-2020,9,2,2.0,0,18,1,1/12,18.00,9.00,12.0,0,0
1464,Mohammad Boota (UAE),2019-2022,19,1,1.0,0,13,1,1/13,13.00,13.00,6.0,0,0
1465,Mohammad Rafique (BAN),2006-2006,1,1,4.0,0,22,1,1/22,22.00,5.50,24.0,0,0
1466,Mohammad Shahid (BAN),2016-2016,1,1,3.0,0,32,1,1/32,32.00,10.66,18.0,0,0
1467,L Monanthane (LES),2021-2021,2,2,4.0,0,65,1,1/55,65.00,16.25,24.0,0,0
